,ibns_20u,ibns_20u_9n,vgs_m1,vgs_m1_9n,ibn_settl_err,name,type,time,OK
0,6297.879,6297.867,2.227659,2.153147,11.999999999755262,tran_LayGtAmcttTtVt_29,Lay,Sat Jun 29 00:15:11 2024,False
1,6297.876,6297.8640000000005,2.227694,2.153182,11.999999999755262,tran_LayGtAmcttTtVt_28,Lay,Sat Jun 29 00:15:11 2024,False
2,6297.878,6297.866,2.227654,2.153141,11.999999999755262,tran_LayGtAmcttTtVt_27,Lay,Sat Jun 29 00:15:11 2024,False
3,6297.879,6297.867,2.227623,2.153111,11.999999999755262,tran_LayGtAmcttTtVt_26,Lay,Sat Jun 29 00:15:11 2024,False
4,6297.878,6297.866,2.227634,2.153122,11.999999999755262,tran_LayGtAmcttTtVt_25,Lay,Sat Jun 29 00:15:11 2024,False
5,6297.879999999999,6297.8679999999995,2.227634,2.153122,11.999999999755262,tran_LayGtAmcttTtVt_24,Lay,Sat Jun 29 00:15:11 2024,False
6,6297.879999999999,6297.8679999999995,2.227684,2.153172,11.999999999755262,tran_LayGtAmcttTtVt_23,Lay,Sat Jun 29 00:15:11 2024,False
7,6297.878,6297.866,2.227626,2.153114,11.999999999755262,tran_LayGtAmcttTtVt_22,Lay,Sat Jun 29 00:15:11 2024,False
8,6297.879,6297.867,2.227642,2.15313,11.999999999755262,tran_LayGtAmcttTtVt_21,Lay,Sat Jun 29 00:15:11 2024,False
9,6297.877,6297.865,2.227649,2.153137,12.000000000622624,tran_LayGtAmcttTtVt_20,Lay,Sat Jun 29 00:15:11 2024,False
10,6297.879,6297.8679999999995,2.227613,2.153101,11.000000000281618,tran_LayGtAmcttTtVt_19,Lay,Sat Jun 29 00:15:11 2024,False
11,6297.878,6297.866,2.227642,2.15313,11.999999999755262,tran_LayGtAmcttTtVt_18,Lay,Sat Jun 29 00:15:11 2024,False
12,6297.881,6297.869000000001,2.227665,2.153152,11.999999999755262,tran_LayGtAmcttTtVt_17,Lay,Sat Jun 29 00:15:11 2024,False
13,6297.879999999999,6297.8679999999995,2.227615,2.153103,11.999999999755262,tran_LayGtAmcttTtVt_16,Lay,Sat Jun 29 00:15:11 2024,False
14,6297.879,6297.8679999999995,2.227653,2.153141,11.000000000281618,tran_LayGtAmcttTtVt_15,Lay,Sat Jun 29 00:15:11 2024,False
15,6297.879999999999,6297.8679999999995,2.227613,2.153101,11.999999999755262,tran_LayGtAmcttTtVt_14,Lay,Sat Jun 29 00:15:11 2024,False
16,6297.876,6297.865,2.227608,2.153096,11.000000000281618,tran_LayGtAmcttTtVt_13,Lay,Sat Jun 29 00:15:11 2024,False
17,6297.881,6297.869000000001,2.227602,2.15309,11.999999999755262,tran_LayGtAmcttTtVt_12,Lay,Sat Jun 29 00:15:11 2024,False
18,6297.876,6297.865,2.227613,2.153101,11.000000000281618,tran_LayGtAmcttTtVt_11,Lay,Sat Jun 29 00:15:11 2024,False
19,6297.878,6297.867,2.227654,2.153142,10.999999999414257,tran_LayGtAmcttTtVt_10,Lay,Sat Jun 29 00:15:11 2024,False
20,6297.883,6297.871,2.227662,2.153149,11.999999999755262,tran_LayGtAmcttTtVt_9,Lay,Sat Jun 29 00:15:11 2024,False
21,6297.879,6297.867,2.227663,2.153151,11.999999999755262,tran_LayGtAmcttTtVt_8,Lay,Sat Jun 29 00:15:11 2024,False
22,6297.877,6297.865,2.227642,2.15313,12.000000000622624,tran_LayGtAmcttTtVt_7,Lay,Sat Jun 29 00:15:11 2024,False
23,6297.879,6297.867,2.227655,2.153143,11.999999999755262,tran_LayGtAmcttTtVt_6,Lay,Sat Jun 29 00:15:11 2024,False
24,6297.878,6297.866,2.227662,2.15315,11.999999999755262,tran_LayGtAmcttTtVt_5,Lay,Sat Jun 29 00:15:11 2024,False
25,6297.879,6297.8679999999995,2.227632,2.15312,11.000000000281618,tran_LayGtAmcttTtVt_4,Lay,Sat Jun 29 00:15:11 2024,False
26,6297.878,6297.866,2.227662,2.153149,11.999999999755262,tran_LayGtAmcttTtVt_3,Lay,Sat Jun 29 00:15:11 2024,False
27,6297.879,6297.867,2.227658,2.153146,11.999999999755262,tran_LayGtAmcttTtVt_2,Lay,Sat Jun 29 00:15:11 2024,False
28,6297.879999999999,6297.8679999999995,2.227615,2.153103,11.999999999755262,tran_LayGtAmcttTtVt_1,Lay,Sat Jun 29 00:15:11 2024,False
29,6297.878,6297.866,2.227624,2.153112,11.999999999755262,tran_LayGtAmcttTtVt,Lay,Sat Jun 29 00:15:11 2024,False
